origin_country,total_flights,avg_velocity,avg_geo_altitude
Algeria,18,212.91166666666666,9591.463333333333
Angola,1,151.27,2209.8
Argentina,12,161.09916666666666,10153.226666666666
Australia,262,112.42885496183206,5591.225396825397
Austria,143,168.57013986013985,7883.476153846154
Azerbaijan,6,179.65333333333334,11551.92
Bahrain,7,179.74428571428572,8115.3
Bangladesh,10,144.39100000000002,5095.875
Belarus,4,182.62,10399.395
Belgium,60,144.92533333333333,7321.296
Brazil,95,174.054,8222.066590909091
Brunei Darussalam,2,77.27499999999999,1844.04
Bulgaria,30,186.925,8736.826956521738
Cambodia,2,210.265,6964.68
Cameroon,1,222.87,
Canada,133,172.72045112781956,9514.259428571428
Chile,18,158.75333333333333,8182.791428571429
China,323,182.67517027863778,7749.264909747292
Colombia,2,241.89,11997.69
Croatia,17,160.19941176470587,8182.791428571429
Cyprus,6,107.3,3422.904
Czech Republic,65,103.40476923076923,4282.841052631579
Denmark,45,165.89244444444444,7831.836
Egypt,52,270.43346153846153,8792.817391304347
Estonia,12,173.02833333333334,9006.078
Ethiopia,9,212.39444444444445,9189.72
Fiji,1,292.42,11940.54
Finland,36,146.2025,6707.8859999999995
France,304,135.0614802631579,6283.5
Gambia,1,2.57,
Georgia,3,96.60666666666667,11079.48
Germany,400,146.0889,6324.0737569060775
Greece,77,133.41168831168832,6374.442295081967
Hungary,61,194.22655737704918,8620.893684210527
Iceland,9,195.51,6809.740000000001
India,179,182.4882122905028,7767.273818181818
Indonesia,54,155.95407407407407,4816.271320754717
Iraq,2,223.97,9193.529999999999
Ireland,362,191.48867403314915,8880.984144144144
Islamic Republic of Iran,1,225.96,11818.62
Israel,45,168.1037777777778,8167.236315789473
Italy,46,105.51847826086957,3330.1214285714286
Japan,204,158.36651960784314,7123.067142857143
Jordan,22,224.6727272727273,9435.291818181819
Kazakhstan,5,246.28599999999997,11374.755000000001
Kenya,7,90.19285714285715,3857.244
Kingdom of the Netherlands,151,165.71006622516558,7213.204888888889
Kuwait,10,222.77100000000002,9761.22
Kyrgyzstan,1,207.89,
Latvia,40,203.373,8989.795263157894
Lebanon,2,113.215,1501.14
Lithuania,13,214.56307692307695,9829.800000000001
Luxembourg,35,191.0457142857143,8971.429411764706
Malaysia,61,174.4388524590164,6880.860000000001
Maldives,1,136.8,7010.4
Malta,301,190.15534883720932,8836.070357142858
Mexico,33,215.84333333333333,10240.356363636363
Monaco,2,0.0,60.96
Mongolia,2,186.13,7989.57
Montenegro,1,200.29,6355.08
Morocco,24,212.09625000000003,9622.734782608695
Myanmar,5,163.752,9174.480000000001
Nepal,3,138.44333333333333,5001.259999999999
New Zealand,30,117.18333333333334,4012.6355555555556
Norway,66,131.88818181818183,5207.947118644068
Oman,7,166.30571428571426,9310.37
Pakistan,5,178.07999999999998,5731.764
Panama,18,200.28,9322.397647058824
Philippines,35,154.85742857142858,5858.0019999999995
Poland,152,174.38750000000002,8358.323571428571
Portugal,80,167.52450000000002,8868.783529411765
Qatar,85,236.82647058823528,10310.65168831169
Republic of Korea,128,163.671171875,6670.669380530973
Republic of Moldova,4,221.0,9796.78
Romania,29,148.87724137931033,7659.75652173913
Russian Federation,51,144.87588235294118,7461.503999999999
Rwanda,2,168.8,5627.37
San Marino,12,192.27083333333334,8778.24
Saudi Arabia,56,225.33160714285714,10606.442352941178
Serbia,22,135.67772727272725,5850.466666666666
Seychelles,1,77.74,876.3
Singapore,57,189.989649122807,8231.777142857143
Slovakia,9,142.22444444444443,5543.973333333333
Slovenia,9,98.41888888888889,3832.013333333334
South Africa,43,123.84372093023255,5117.782499999999
Spain,213,164.94474178403757,7024.906524064171
Sri Lanka,6,218.78166666666667,9237.980000000001
Sweden,96,130.35875000000001,5684.7036144578315
Switzerland,143,126.19706293706294,7023.876111111111
Syrian Arab Republic,1,227.73,10812.78
Taiwan,83,166.59626506024097,6392.0624
Tajikistan,1,247.12,10096.5
Thailand,62,183.29451612903227,7049.920677966102
Tunisia,14,164.96071428571426,8526.78
Turkey,309,192.62375404530744,9114.282
Turkmenistan,2,224.60000000000002,7760.969999999999
Ukraine,11,178.46727272727273,8247.888
United Arab Emirates,176,209.33039772727273,9124.742181818181
United Kingdom,547,158.0894698354662,7147.529519999999
United Republic of Tanzania,1,237.79,12679.68
United States,1053,180.4610161443495,8357.78278969957
Uzbekistan,7,187.77428571428572,7912.099999999999
Viet Nam,13,192.75846153846155,11019.905454545455
