icao24,origin_country,velocity,geo_altitude
39de4f,France,241.76,11887.2
39de4e,France,209.12,8267.7
80162d,India,253.55,11681.46
39de4a,France,227.18,12397.74
39de4d,France,217.41,12115.8
39de57,France,248.2,10675.62
801640,India,234.0,11376.66
39de58,France,241.91,11833.86
3cf0b8,Germany,142.16,4328.16
39de51,France,245.5,11186.16
39de50,France,229.85,12207.24
39de53,France,0.0,
39de55,France,0.0,
39de54,France,209.4,8900.16
a53eef,United States,73.98,579.12
801657,India,245.77,11536.68
8a02ea,Indonesia,166.68,5859.78
acdfa3,United States,77.4,464.82
801616,India,238.22,11978.64
aa9300,United States,279.24,11391.9
abacb6,United States,141.74,2362.2
801621,India,226.0,12100.56
851914,Japan,229.54,9159.24
a4b228,United States,216.68,11529.06
80161c,India,247.86,9768.84
801625,India,224.6,11948.16
407a05,United Kingdom,242.5,11841.48
39de48,France,241.35,12001.5
39de49,France,265.2,11536.68
51113f,Estonia,95.57,1135.38
407a06,United Kingdom,236.14,11902.44
a0e249,United States,203.4,4411.98
39de40,France,66.01,312.42
407a01,United Kingdom,104.04,4206.24
39de43,France,243.28,11475.72
511187,Estonia,257.47,11521.44
80166d,India,226.34,10927.08
80166a,India,189.63,6583.68
adeca5,United States,0.0,
511188,Estonia,1.03,
aad012,United States,69.66,175.26
511189,Estonia,241.31,12039.6
4acb01,Sweden,204.51,7178.04
4acb03,Sweden,3.6,
470bee,Hungary,43.23,594.36
4acb02,Sweden,0.0,
4acb04,Sweden,189.69,8404.86
488242,Poland,42.52,556.26
4bc8c6,Turkey,0.06,
4bc8c7,Turkey,210.82,11071.86
4bc8c5,Turkey,221.73,11026.14
e80259,Chile,0.64,
4bc8c2,Turkey,227.25,11033.76
801681,India,234.37,10728.96
4bc8c3,Turkey,213.23,8046.72
4bc8c1,Turkey,238.25,11506.2
4bc8d0,Turkey,203.79,10370.82
511171,Estonia,227.59,12100.56
511172,Estonia,218.28,12237.72
511170,Estonia,275.44,11254.74
801697,India,236.19,10767.06
aaf67e,United States,152.16,3314.7
e80268,Chile,79.23,2613.66
801698,India,160.81,4069.08
4bc8d5,Turkey,215.41,10843.26
841a6c,Japan,216.53,11795.76
4bc8d6,Turkey,228.12,10668.0
4bc8d3,Turkey,218.6,11551.92
4bc8d2,Turkey,259.6,11056.62
3442cc,Spain,101.17,6149.34
80164f,India,3.09,
80164c,India,143.7,4251.96
471efa,Hungary,210.73,11384.28
47b217,Norway,242.0,12390.12
471efe,Hungary,250.7,11673.84
471eff,Hungary,207.01,6271.26
471efc,Hungary,214.23,10226.04
505f1d,Slovakia,31.4,403.86
801662,India,229.62,10469.88
51118a,Estonia,0.0,
44029f,Austria,235.36,10660.38
8744d4,Japan,237.37,11498.58
80165c,India,76.66,1043.94
ae1ff9,United States,38.24,2743.2
511195,Estonia,247.11,10096.5
407a3f,United Kingdom,265.67,11536.68
e4a7ae,Brazil,199.35,6606.54
801669,India,3.86,
7c7239,Australia,34.61,53.34
511194,Estonia,63.23,381.0
801671,India,234.4,11765.28
505f15,Slovakia,258.16,11536.68
7c70ff,Australia,0.39,
47885f,Norway,115.15,2171.7
4acb45,Sweden,2.83,
4acb58,Sweden,68.54,365.76
0800ae,United Republic of Tanzania,237.79,12679.68
44023f,Austria,212.92,9067.8
3c5ee8,Germany,194.8,3299.46
4bc8e1,Turkey,187.79,5501.64
3c5ee6,Germany,177.14,7848.6
80168c,India,186.61,4122.42
3c5ee5,Germany,97.73,1371.6
0d11e4,Mexico,232.03,11346.18
4bc8cf,Turkey,227.17,11033.76
4bc8ce,Turkey,83.38,243.84
4bc8cb,Turkey,221.94,10972.8
4acb23,Sweden,238.01,12039.6
4bc8cc,Turkey,255.49,11216.64
4bc8ca,Turkey,213.76,11437.62
e48be3,Brazil,232.58,11658.6
3c5ee3,Germany,94.81,777.24
3c5ee1,Germany,241.63,11468.1
3c5ef8,Germany,240.69,10774.68
3c5ef6,Germany,220.39,12108.18
3d1209,Germany,53.23,830.58
